Criminal Offenses - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,143358,Bradley University,1,Main Campus,5996,0,0,1,,,0,,,2,4,29,4,0
2001,165015,Brandeis University,1,Main Campus,4882,0,0,2,,,0,,,1,1,17,0,0
2001,262086,Brandman University,1,Main Campus & Administration - Irvine,4779,0,0,0,,,0,,,0,0,0,0,0
2001,139199,Brenau University,1,Gainesville Main Campus,2251,0,0,0,,,0,,,2,0,7,1,0
2001,139199,Brenau University,3,Atlanta Campus,2251,0,0,0,,,0,,,0,0,0,0,0
2001,139199,Brenau University,4,Augusta/Ft. Gordon Campus,2251,0,0,0,,,0,,,0,0,0,0,0
2001,139199,Brenau University,5,Kings Bay Campus,2251,0,0,0,,,0,,,0,0,0,0,0
2001,156356,Brescia University,1,Main Campus,791,0,0,0,,,0,,,0,0,5,0,0
2001,198066,Brevard College,1,Main Campus,701,0,0,0,,,2,,,0,1,10,0,0
2001,139205,Brewton-Parker College,1,Main Campus  Mt. Vernon Georgia,1219,0,0,0,,,0,,,0,0,22,3,0
2001,152992,Briar Cliff University,1,Main Campus,969,0,0,0,,,0,,,0,0,7,0,0
2001,231581,Bridgewater College,1,Main Campus,1260,0,0,2,,,0,,,0,0,7,1,1
2001,230047,Brigham Young University-Hawaii,1,Brigham Young University-Hawaii,2278,0,0,0,,,0,,,0,2,5,0,0
2001,142522,Brigham Young University-Idaho,1,BYU-Idaho,9200,0,0,2,,,0,,,0,0,2,1,0
2001,230038,Brigham Young University-Provo,1,Brigham Young University (230038),32771,0,0,0,,,0,,,1,0,7,9,4
2001,230038,Brigham Young University-Provo,2,BYU Salt Lake Center,32771,0,0,0,,,0,,,0,0,0,0,0
2001,230038,Brigham Young University-Provo,3,BYU Washington D.C. Seminar,32771,0,0,0,,,0,,,0,0,0,0,0
2001,230038,Brigham Young University-Provo,4,BYU Jerusalem Center,32771,0,0,0,,,0,,,0,0,0,0,0
2001,230038,Brigham Young University-Provo,5,BYU London Center,32771,0,0,0,,,0,,,0,0,0,0,0
2001,230038,Brigham Young University-Provo,6,BYU Jerusalem Center,32771,0,0,0,,,0,,,0,0,0,0,0
2001,189501,Brooklyn Law School,1,Main Campus,1516,0,0,0,,,0,,,0,0,0,0,0
2001,217156,Brown University,1,Main Campus,7774,0,0,0,,,0,,,2,0,63,14,0
2001,180878,Bryan College of Health Sciences,1,Main Campus,154,0,0,0,,,0,,,0,0,0,0,0
2001,219790,Bryan College-Dayton,1,Main Campus,611,0,0,0,,,0,,,0,0,1,0,0
2001,217165,Bryant University,1,Main Campus,3494,0,0,1,,,0,,,0,1,19,0,0
2001,211273,Bryn Mawr College,1,Main Campus,1756,0,0,1,,,0,,,0,0,1,0,0
